model,held_out_question,dimension,query_source,alpha,inner_accuracy,inner_spearman,inner_mae,feature_count,candidate_queries,train_documents,test_documents
global_structure,1,comprehensiveness,matched_full,10.00000000,0.63055556,0.35837348,1.04515227,1047,matched_full,144,16
global_structure,1,insight,matched_full,1000.00000000,0.66388889,0.48315842,1.13518608,1047,matched_full,144,16
global_structure,1,instruction_following,matched_full,0.10000000,0.54259259,0.23659196,2.05652254,1047,matched_full,144,16
global_structure,1,readability,matched_full,1000.00000000,0.72129630,0.59345404,0.67664891,1047,matched_full,144,16
global_structure,2,comprehensiveness,matched_full,10.00000000,0.60925926,0.31674761,0.96938857,1047,matched_full,144,16
global_structure,2,insight,matched_full,1000.00000000,0.67500000,0.51714313,1.03696920,1047,matched_full,144,16
global_structure,2,instruction_following,matched_full,0.10000000,0.56111111,0.30380154,2.37371794,1047,matched_full,144,16
global_structure,2,readability,matched_full,1000.00000000,0.70740741,0.57284451,0.72964884,1047,matched_full,144,16
global_structure,3,comprehensiveness,matched_full,10.00000000,0.65277778,0.40337276,1.03339098,1047,matched_full,144,16
global_structure,3,insight,matched_full,1000.00000000,0.68796296,0.54344311,1.01361503,1047,matched_full,144,16
global_structure,3,instruction_following,matched_full,10.00000000,0.59722222,0.38270190,1.43172835,1047,matched_full,144,16
global_structure,3,readability,matched_full,1000.00000000,0.71481481,0.58439398,0.70141933,1047,matched_full,144,16
global_structure,4,comprehensiveness,matched_full,10.00000000,0.63148148,0.36236167,0.86010980,1047,matched_full,144,16
global_structure,4,insight,matched_full,1000.00000000,0.67037037,0.50314054,1.00642381,1047,matched_full,144,16
global_structure,4,instruction_following,matched_full,0.10000000,0.55740741,0.27963043,1.92270266,1047,matched_full,144,16
global_structure,4,readability,matched_full,1000.00000000,0.71851852,0.59009035,0.70279934,1047,matched_full,144,16
global_structure,5,comprehensiveness,matched_full,10.00000000,0.63518519,0.37687822,0.89951923,1047,matched_full,144,16
global_structure,5,insight,matched_full,1000.00000000,0.71203704,0.59408355,0.91109335,1047,matched_full,144,16
global_structure,5,instruction_following,matched_full,1.00000000,0.53888889,0.25188893,1.48663579,1047,matched_full,144,16
global_structure,5,readability,matched_full,1000.00000000,0.73425926,0.63003923,0.72262556,1047,matched_full,144,16
global_structure,6,comprehensiveness,matched_full,100.00000000,0.62222222,0.35336420,0.68607140,1047,matched_full,144,16
global_structure,6,insight,matched_full,1000.00000000,0.70000000,0.57268257,0.91690594,1047,matched_full,144,16
global_structure,6,instruction_following,matched_full,10.00000000,0.54722222,0.27846957,1.17533351,1047,matched_full,144,16
global_structure,6,readability,matched_full,1000.00000000,0.71481481,0.58249081,0.72683219,1047,matched_full,144,16
global_structure,7,comprehensiveness,matched_full,100.00000000,0.62685185,0.34432415,0.62568018,1047,matched_full,144,16
global_structure,7,insight,matched_full,1000.00000000,0.69814815,0.56188049,0.93965544,1047,matched_full,144,16
global_structure,7,instruction_following,matched_full,10.00000000,0.50555556,0.11362787,1.40934577,1047,matched_full,144,16
global_structure,7,readability,matched_full,1000.00000000,0.71203704,0.55235460,0.69897842,1047,matched_full,144,16
global_structure,16,comprehensiveness,matched_full,100.00000000,0.65277778,0.42951943,0.63142294,1047,matched_full,144,16
global_structure,16,insight,matched_full,1000.00000000,0.70277778,0.57532607,0.94376236,1047,matched_full,144,16
global_structure,16,instruction_following,matched_full,1000.00000000,0.55185185,0.21909187,0.78784828,1047,matched_full,144,16
global_structure,16,readability,matched_full,1000.00000000,0.71481481,0.58640853,0.68631421,1047,matched_full,144,16
global_structure,17,comprehensiveness,matched_full,10.00000000,0.64537037,0.41799915,0.69973999,1047,matched_full,144,16
global_structure,17,insight,matched_full,1000.00000000,0.68240741,0.51497795,0.99302280,1047,matched_full,144,16
global_structure,17,instruction_following,matched_full,1.00000000,0.54166667,0.25806552,1.91258324,1047,matched_full,144,16
global_structure,17,readability,matched_full,1000.00000000,0.69166667,0.52947747,0.70440042,1047,matched_full,144,16
global_structure,18,comprehensiveness,matched_full,10.00000000,0.62685185,0.35788391,0.69231009,1047,matched_full,144,16
global_structure,18,insight,matched_full,1000.00000000,0.70092593,0.57822814,1.03705463,1047,matched_full,144,16
global_structure,18,instruction_following,matched_full,10.00000000,0.60185185,0.40466028,1.56207539,1047,matched_full,144,16
global_structure,18,readability,matched_full,1000.00000000,0.71944444,0.58457638,0.72005371,1047,matched_full,144,16
matched_full_selective,1,comprehensiveness,matched_full,100.00000000,0.64166667,0.37863362,0.76085714,1078,matched_full,144,16
matched_full_selective,1,insight,matched_full,1000.00000000,0.66388889,0.48315842,1.13518608,1047,matched_full,144,16
matched_full_selective,1,instruction_following,matched_full,100.00000000,0.60092593,0.40624796,1.15342516,1078,matched_full,144,16
matched_full_selective,1,readability,matched_full,1000.00000000,0.72129630,0.59345404,0.67664891,1047,matched_full,144,16
matched_full_selective,2,comprehensiveness,matched_full,100.00000000,0.60925926,0.30447101,0.74320045,1078,matched_full,144,16
matched_full_selective,2,insight,matched_full,1000.00000000,0.67500000,0.51714313,1.03696920,1047,matched_full,144,16
matched_full_selective,2,instruction_following,matched_full,0.10000000,0.59259259,0.39944173,1.92902619,1078,matched_full,144,16
matched_full_selective,2,readability,matched_full,1000.00000000,0.70740741,0.57284451,0.72964884,1047,matched_full,144,16
matched_full_selective,3,comprehensiveness,matched_full,100.00000000,0.63888889,0.40184408,0.78897432,1078,matched_full,144,16
matched_full_selective,3,insight,matched_full,1000.00000000,0.68796296,0.54344311,1.01361503,1047,matched_full,144,16
matched_full_selective,3,instruction_following,matched_full,1.00000000,0.59259259,0.38100576,1.44227965,1078,matched_full,144,16
matched_full_selective,3,readability,matched_full,1000.00000000,0.71481481,0.58439398,0.70141933,1047,matched_full,144,16
matched_full_selective,4,comprehensiveness,matched_full,1000.00000000,0.62407407,0.34025002,0.58754760,1078,matched_full,144,16
matched_full_selective,4,insight,matched_full,1000.00000000,0.67037037,0.50314054,1.00642381,1047,matched_full,144,16
matched_full_selective,4,instruction_following,matched_full,100.00000000,0.60185185,0.38827893,0.95631200,1078,matched_full,144,16
matched_full_selective,4,readability,matched_full,1000.00000000,0.71851852,0.59009035,0.70279934,1047,matched_full,144,16
matched_full_selective,5,comprehensiveness,matched_full,100.00000000,0.63611111,0.36085268,0.64698082,1078,matched_full,144,16
matched_full_selective,5,insight,matched_full,1000.00000000,0.71203704,0.59408355,0.91109335,1047,matched_full,144,16
matched_full_selective,5,instruction_following,matched_full,10.00000000,0.57407407,0.34689348,1.10066788,1078,matched_full,144,16
matched_full_selective,5,readability,matched_full,1000.00000000,0.73425926,0.63003923,0.72262556,1047,matched_full,144,16
matched_full_selective,6,comprehensiveness,matched_full,100.00000000,0.63240741,0.38520251,0.64790684,1078,matched_full,144,16
matched_full_selective,6,insight,matched_full,1000.00000000,0.70000000,0.57268257,0.91690594,1047,matched_full,144,16
matched_full_selective,6,instruction_following,matched_full,1000.00000000,0.59629630,0.37369083,0.68708599,1078,matched_full,144,16
matched_full_selective,6,readability,matched_full,1000.00000000,0.71481481,0.58249081,0.72683219,1047,matched_full,144,16
matched_full_selective,7,comprehensiveness,matched_full,100.00000000,0.63333333,0.35948549,0.60354097,1078,matched_full,144,16
matched_full_selective,7,insight,matched_full,1000.00000000,0.69814815,0.56188049,0.93965544,1047,matched_full,144,16
matched_full_selective,7,instruction_following,matched_full,1000.00000000,0.52870370,0.18244007,0.65372323,1078,matched_full,144,16
matched_full_selective,7,readability,matched_full,1000.00000000,0.71203704,0.55235460,0.69897842,1047,matched_full,144,16
matched_full_selective,16,comprehensiveness,matched_full,10.00000000,0.65185185,0.39887844,0.71964069,1078,matched_full,144,16
matched_full_selective,16,insight,matched_full,1000.00000000,0.70277778,0.57532607,0.94376236,1047,matched_full,144,16
matched_full_selective,16,instruction_following,matched_full,1000.00000000,0.58333333,0.31802834,0.75312812,1078,matched_full,144,16
matched_full_selective,16,readability,matched_full,1000.00000000,0.71481481,0.58640853,0.68631421,1047,matched_full,144,16
matched_full_selective,17,comprehensiveness,matched_full,100.00000000,0.64259259,0.39070412,0.60516332,1078,matched_full,144,16
matched_full_selective,17,insight,matched_full,1000.00000000,0.68240741,0.51497795,0.99302280,1047,matched_full,144,16
matched_full_selective,17,instruction_following,matched_full,100.00000000,0.58055556,0.34521057,0.91314868,1078,matched_full,144,16
matched_full_selective,17,readability,matched_full,1000.00000000,0.69166667,0.52947747,0.70440042,1047,matched_full,144,16
matched_full_selective,18,comprehensiveness,matched_full,100.00000000,0.61759259,0.32678764,0.61013041,1078,matched_full,144,16
matched_full_selective,18,insight,matched_full,1000.00000000,0.70092593,0.57822814,1.03705463,1047,matched_full,144,16
matched_full_selective,18,instruction_following,matched_full,100.00000000,0.60555556,0.42051084,0.95613427,1078,matched_full,144,16
matched_full_selective,18,readability,matched_full,1000.00000000,0.71944444,0.58457638,0.72005371,1047,matched_full,144,16
criterion_only_selective,1,comprehensiveness,criterion_only,100.00000000,0.68055556,0.47366675,0.85731954,1078,criterion_only,144,16
criterion_only_selective,1,insight,matched_full,1000.00000000,0.66388889,0.48315842,1.13518608,1047,matched_full,144,16
criterion_only_selective,1,instruction_following,criterion_only,10.00000000,0.58055556,0.35734776,1.75384713,1078,criterion_only,144,16
criterion_only_selective,1,readability,matched_full,1000.00000000,0.72129630,0.59345404,0.67664891,1047,matched_full,144,16
criterion_only_selective,2,comprehensiveness,criterion_only,10.00000000,0.63055556,0.37069403,0.98235243,1078,criterion_only,144,16
criterion_only_selective,2,insight,matched_full,1000.00000000,0.67500000,0.51714313,1.03696920,1047,matched_full,144,16
criterion_only_selective,2,instruction_following,criterion_only,0.01000000,0.58518519,0.38398926,2.21686728,1078,criterion_only,144,16
criterion_only_selective,2,readability,matched_full,1000.00000000,0.70740741,0.57284451,0.72964884,1047,matched_full,144,16
criterion_only_selective,3,comprehensiveness,criterion_only,10.00000000,0.66851852,0.45696434,1.10218734,1078,criterion_only,144,16
criterion_only_selective,3,insight,matched_full,1000.00000000,0.68796296,0.54344311,1.01361503,1047,matched_full,144,16
criterion_only_selective,3,instruction_following,criterion_only,10.00000000,0.62314815,0.45290450,1.37074692,1078,criterion_only,144,16
criterion_only_selective,3,readability,matched_full,1000.00000000,0.71481481,0.58439398,0.70141933,1047,matched_full,144,16
criterion_only_selective,4,comprehensiveness,criterion_only,100.00000000,0.65925926,0.43410933,0.75305480,1078,criterion_only,144,16
criterion_only_selective,4,insight,matched_full,1000.00000000,0.67037037,0.50314054,1.00642381,1047,matched_full,144,16
criterion_only_selective,4,instruction_following,criterion_only,10.00000000,0.58425926,0.34412456,1.64214270,1078,criterion_only,144,16
criterion_only_selective,4,readability,matched_full,1000.00000000,0.71851852,0.59009035,0.70279934,1047,matched_full,144,16
criterion_only_selective,5,comprehensiveness,criterion_only,1.00000000,0.66296296,0.44081902,0.92217070,1078,criterion_only,144,16
criterion_only_selective,5,insight,matched_full,1000.00000000,0.71203704,0.59408355,0.91109335,1047,matched_full,144,16
criterion_only_selective,5,instruction_following,criterion_only,100.00000000,0.55833333,0.30719819,0.95326890,1078,criterion_only,144,16
criterion_only_selective,5,readability,matched_full,1000.00000000,0.73425926,0.63003923,0.72262556,1047,matched_full,144,16
criterion_only_selective,6,comprehensiveness,criterion_only,100.00000000,0.66018519,0.44393488,0.70020012,1078,criterion_only,144,16
criterion_only_selective,6,insight,matched_full,1000.00000000,0.70000000,0.57268257,0.91690594,1047,matched_full,144,16
criterion_only_selective,6,instruction_following,criterion_only,100.00000000,0.59814815,0.39573113,0.73640488,1078,criterion_only,144,16
criterion_only_selective,6,readability,matched_full,1000.00000000,0.71481481,0.58249081,0.72683219,1047,matched_full,144,16
criterion_only_selective,7,comprehensiveness,criterion_only,100.00000000,0.66759259,0.44486053,0.59107184,1078,criterion_only,144,16
criterion_only_selective,7,insight,matched_full,1000.00000000,0.69814815,0.56188049,0.93965544,1047,matched_full,144,16
criterion_only_selective,7,instruction_following,criterion_only,10.00000000,0.51944444,0.15423104,1.40509859,1078,criterion_only,144,16
criterion_only_selective,7,readability,matched_full,1000.00000000,0.71203704,0.55235460,0.69897842,1047,matched_full,144,16
criterion_only_selective,16,comprehensiveness,criterion_only,100.00000000,0.66574074,0.46039586,0.62613871,1078,criterion_only,144,16
criterion_only_selective,16,insight,matched_full,1000.00000000,0.70277778,0.57532607,0.94376236,1047,matched_full,144,16
criterion_only_selective,16,instruction_following,criterion_only,1000.00000000,0.55185185,0.22865399,0.78636345,1078,criterion_only,144,16
criterion_only_selective,16,readability,matched_full,1000.00000000,0.71481481,0.58640853,0.68631421,1047,matched_full,144,16
criterion_only_selective,17,comprehensiveness,criterion_only,10.00000000,0.66481481,0.45803483,0.74182528,1078,criterion_only,144,16
criterion_only_selective,17,insight,matched_full,1000.00000000,0.68240741,0.51497795,0.99302280,1047,matched_full,144,16
criterion_only_selective,17,instruction_following,criterion_only,10.00000000,0.56203704,0.30313183,1.58076024,1078,criterion_only,144,16
criterion_only_selective,17,readability,matched_full,1000.00000000,0.69166667,0.52947747,0.70440042,1047,matched_full,144,16
criterion_only_selective,18,comprehensiveness,criterion_only,100.00000000,0.68611111,0.50259017,0.57992944,1078,criterion_only,144,16
criterion_only_selective,18,insight,matched_full,1000.00000000,0.70092593,0.57822814,1.03705463,1047,matched_full,144,16
criterion_only_selective,18,instruction_following,criterion_only,10.00000000,0.60648148,0.42615538,1.60194455,1078,criterion_only,144,16
criterion_only_selective,18,readability,matched_full,1000.00000000,0.71944444,0.58457638,0.72005371,1047,matched_full,144,16
fixed_dimension_selective,1,comprehensiveness,criterion_only,100.00000000,0.68055556,0.47366675,0.85731954,1078,criterion_only,144,16
fixed_dimension_selective,1,insight,matched_full,1000.00000000,0.66388889,0.48315842,1.13518608,1047,matched_full,144,16
fixed_dimension_selective,1,instruction_following,matched_full,100.00000000,0.60092593,0.40624796,1.15342516,1078,matched_full,144,16
fixed_dimension_selective,1,readability,matched_full,1000.00000000,0.72129630,0.59345404,0.67664891,1047,matched_full,144,16
fixed_dimension_selective,2,comprehensiveness,criterion_only,10.00000000,0.63055556,0.37069403,0.98235243,1078,criterion_only,144,16
fixed_dimension_selective,2,insight,matched_full,1000.00000000,0.67500000,0.51714313,1.03696920,1047,matched_full,144,16
fixed_dimension_selective,2,instruction_following,matched_full,0.10000000,0.59259259,0.39944173,1.92902619,1078,matched_full,144,16
fixed_dimension_selective,2,readability,matched_full,1000.00000000,0.70740741,0.57284451,0.72964884,1047,matched_full,144,16
fixed_dimension_selective,3,comprehensiveness,criterion_only,10.00000000,0.66851852,0.45696434,1.10218734,1078,criterion_only,144,16
fixed_dimension_selective,3,insight,matched_full,1000.00000000,0.68796296,0.54344311,1.01361503,1047,matched_full,144,16
fixed_dimension_selective,3,instruction_following,matched_full,1.00000000,0.59259259,0.38100576,1.44227965,1078,matched_full,144,16
fixed_dimension_selective,3,readability,matched_full,1000.00000000,0.71481481,0.58439398,0.70141933,1047,matched_full,144,16
fixed_dimension_selective,4,comprehensiveness,criterion_only,100.00000000,0.65925926,0.43410933,0.75305480,1078,criterion_only,144,16
fixed_dimension_selective,4,insight,matched_full,1000.00000000,0.67037037,0.50314054,1.00642381,1047,matched_full,144,16
fixed_dimension_selective,4,instruction_following,matched_full,100.00000000,0.60185185,0.38827893,0.95631200,1078,matched_full,144,16
fixed_dimension_selective,4,readability,matched_full,1000.00000000,0.71851852,0.59009035,0.70279934,1047,matched_full,144,16
fixed_dimension_selective,5,comprehensiveness,criterion_only,1.00000000,0.66296296,0.44081902,0.92217070,1078,criterion_only,144,16
fixed_dimension_selective,5,insight,matched_full,1000.00000000,0.71203704,0.59408355,0.91109335,1047,matched_full,144,16
fixed_dimension_selective,5,instruction_following,matched_full,10.00000000,0.57407407,0.34689348,1.10066788,1078,matched_full,144,16
fixed_dimension_selective,5,readability,matched_full,1000.00000000,0.73425926,0.63003923,0.72262556,1047,matched_full,144,16
fixed_dimension_selective,6,comprehensiveness,criterion_only,100.00000000,0.66018519,0.44393488,0.70020012,1078,criterion_only,144,16
fixed_dimension_selective,6,insight,matched_full,1000.00000000,0.70000000,0.57268257,0.91690594,1047,matched_full,144,16
fixed_dimension_selective,6,instruction_following,matched_full,1000.00000000,0.59629630,0.37369083,0.68708599,1078,matched_full,144,16
fixed_dimension_selective,6,readability,matched_full,1000.00000000,0.71481481,0.58249081,0.72683219,1047,matched_full,144,16
fixed_dimension_selective,7,comprehensiveness,criterion_only,100.00000000,0.66759259,0.44486053,0.59107184,1078,criterion_only,144,16
fixed_dimension_selective,7,insight,matched_full,1000.00000000,0.69814815,0.56188049,0.93965544,1047,matched_full,144,16
fixed_dimension_selective,7,instruction_following,matched_full,1000.00000000,0.52870370,0.18244007,0.65372323,1078,matched_full,144,16
fixed_dimension_selective,7,readability,matched_full,1000.00000000,0.71203704,0.55235460,0.69897842,1047,matched_full,144,16
fixed_dimension_selective,16,comprehensiveness,criterion_only,100.00000000,0.66574074,0.46039586,0.62613871,1078,criterion_only,144,16
fixed_dimension_selective,16,insight,matched_full,1000.00000000,0.70277778,0.57532607,0.94376236,1047,matched_full,144,16
fixed_dimension_selective,16,instruction_following,matched_full,1000.00000000,0.58333333,0.31802834,0.75312812,1078,matched_full,144,16
fixed_dimension_selective,16,readability,matched_full,1000.00000000,0.71481481,0.58640853,0.68631421,1047,matched_full,144,16
fixed_dimension_selective,17,comprehensiveness,criterion_only,10.00000000,0.66481481,0.45803483,0.74182528,1078,criterion_only,144,16
fixed_dimension_selective,17,insight,matched_full,1000.00000000,0.68240741,0.51497795,0.99302280,1047,matched_full,144,16
fixed_dimension_selective,17,instruction_following,matched_full,100.00000000,0.58055556,0.34521057,0.91314868,1078,matched_full,144,16
fixed_dimension_selective,17,readability,matched_full,1000.00000000,0.69166667,0.52947747,0.70440042,1047,matched_full,144,16
fixed_dimension_selective,18,comprehensiveness,criterion_only,100.00000000,0.68611111,0.50259017,0.57992944,1078,criterion_only,144,16
fixed_dimension_selective,18,insight,matched_full,1000.00000000,0.70092593,0.57822814,1.03705463,1047,matched_full,144,16
fixed_dimension_selective,18,instruction_following,matched_full,100.00000000,0.60555556,0.42051084,0.95613427,1078,matched_full,144,16
fixed_dimension_selective,18,readability,matched_full,1000.00000000,0.71944444,0.58457638,0.72005371,1047,matched_full,144,16
nested_query_selective,1,comprehensiveness,criterion_only,100.00000000,0.68055556,0.47366675,0.85731954,1078,matched_full|criterion_only,144,16
nested_query_selective,1,insight,matched_full,1000.00000000,0.66388889,0.48315842,1.13518608,1047,matched_full,144,16
nested_query_selective,1,instruction_following,matched_full,100.00000000,0.60092593,0.40624796,1.15342516,1078,matched_full|criterion_only,144,16
nested_query_selective,1,readability,matched_full,1000.00000000,0.72129630,0.59345404,0.67664891,1047,matched_full,144,16
nested_query_selective,2,comprehensiveness,criterion_only,10.00000000,0.63055556,0.37069403,0.98235243,1078,matched_full|criterion_only,144,16
nested_query_selective,2,insight,matched_full,1000.00000000,0.67500000,0.51714313,1.03696920,1047,matched_full,144,16
nested_query_selective,2,instruction_following,matched_full,0.10000000,0.59259259,0.39944173,1.92902619,1078,matched_full|criterion_only,144,16
nested_query_selective,2,readability,matched_full,1000.00000000,0.70740741,0.57284451,0.72964884,1047,matched_full,144,16
nested_query_selective,3,comprehensiveness,criterion_only,10.00000000,0.66851852,0.45696434,1.10218734,1078,matched_full|criterion_only,144,16
nested_query_selective,3,insight,matched_full,1000.00000000,0.68796296,0.54344311,1.01361503,1047,matched_full,144,16
nested_query_selective,3,instruction_following,criterion_only,10.00000000,0.62314815,0.45290450,1.37074692,1078,matched_full|criterion_only,144,16
nested_query_selective,3,readability,matched_full,1000.00000000,0.71481481,0.58439398,0.70141933,1047,matched_full,144,16
nested_query_selective,4,comprehensiveness,criterion_only,100.00000000,0.65925926,0.43410933,0.75305480,1078,matched_full|criterion_only,144,16
nested_query_selective,4,insight,matched_full,1000.00000000,0.67037037,0.50314054,1.00642381,1047,matched_full,144,16
nested_query_selective,4,instruction_following,matched_full,100.00000000,0.60185185,0.38827893,0.95631200,1078,matched_full|criterion_only,144,16
nested_query_selective,4,readability,matched_full,1000.00000000,0.71851852,0.59009035,0.70279934,1047,matched_full,144,16
nested_query_selective,5,comprehensiveness,criterion_only,1.00000000,0.66296296,0.44081902,0.92217070,1078,matched_full|criterion_only,144,16
nested_query_selective,5,insight,matched_full,1000.00000000,0.71203704,0.59408355,0.91109335,1047,matched_full,144,16
nested_query_selective,5,instruction_following,matched_full,10.00000000,0.57407407,0.34689348,1.10066788,1078,matched_full|criterion_only,144,16
nested_query_selective,5,readability,matched_full,1000.00000000,0.73425926,0.63003923,0.72262556,1047,matched_full,144,16
nested_query_selective,6,comprehensiveness,criterion_only,100.00000000,0.66018519,0.44393488,0.70020012,1078,matched_full|criterion_only,144,16
nested_query_selective,6,insight,matched_full,1000.00000000,0.70000000,0.57268257,0.91690594,1047,matched_full,144,16
nested_query_selective,6,instruction_following,criterion_only,100.00000000,0.59814815,0.39573113,0.73640488,1078,matched_full|criterion_only,144,16
nested_query_selective,6,readability,matched_full,1000.00000000,0.71481481,0.58249081,0.72683219,1047,matched_full,144,16
nested_query_selective,7,comprehensiveness,criterion_only,100.00000000,0.66759259,0.44486053,0.59107184,1078,matched_full|criterion_only,144,16
nested_query_selective,7,insight,matched_full,1000.00000000,0.69814815,0.56188049,0.93965544,1047,matched_full,144,16
nested_query_selective,7,instruction_following,matched_full,1000.00000000,0.52870370,0.18244007,0.65372323,1078,matched_full|criterion_only,144,16
nested_query_selective,7,readability,matched_full,1000.00000000,0.71203704,0.55235460,0.69897842,1047,matched_full,144,16
nested_query_selective,16,comprehensiveness,criterion_only,100.00000000,0.66574074,0.46039586,0.62613871,1078,matched_full|criterion_only,144,16
nested_query_selective,16,insight,matched_full,1000.00000000,0.70277778,0.57532607,0.94376236,1047,matched_full,144,16
nested_query_selective,16,instruction_following,matched_full,1000.00000000,0.58333333,0.31802834,0.75312812,1078,matched_full|criterion_only,144,16
nested_query_selective,16,readability,matched_full,1000.00000000,0.71481481,0.58640853,0.68631421,1047,matched_full,144,16
nested_query_selective,17,comprehensiveness,criterion_only,10.00000000,0.66481481,0.45803483,0.74182528,1078,matched_full|criterion_only,144,16
nested_query_selective,17,insight,matched_full,1000.00000000,0.68240741,0.51497795,0.99302280,1047,matched_full,144,16
nested_query_selective,17,instruction_following,matched_full,100.00000000,0.58055556,0.34521057,0.91314868,1078,matched_full|criterion_only,144,16
nested_query_selective,17,readability,matched_full,1000.00000000,0.69166667,0.52947747,0.70440042,1047,matched_full,144,16
nested_query_selective,18,comprehensiveness,criterion_only,100.00000000,0.68611111,0.50259017,0.57992944,1078,matched_full|criterion_only,144,16
nested_query_selective,18,insight,matched_full,1000.00000000,0.70092593,0.57822814,1.03705463,1047,matched_full,144,16
nested_query_selective,18,instruction_following,criterion_only,10.00000000,0.60648148,0.42615538,1.60194455,1078,matched_full|criterion_only,144,16
nested_query_selective,18,readability,matched_full,1000.00000000,0.71944444,0.58457638,0.72005371,1047,matched_full,144,16
